Row Labels,Sum of Sales,,,,,,,,,,,,Row Labels,Sum of Sales,,,,,,,,,,,,Row Labels,Sum of Sales
Central,492646.9,,,,,,,,,,,,12/11/2018,2911.38,,,,,,,,,,,,Furniture,728658.75
East,669313.82,,,,,,,,,,,,12/10/2018,5625.38,,,,,,,,,,,,Office Supplies,705422.28
South,389151.45,,,,,,,,,,,,12/9/2018,491.55,,,,,,,,,,,,Technology,827250.91
West,710219.77,,,,,,,,,,,,12/8/2018,3693.08,,,,,,,,,,,,Grand Total,2261331.94
Grand Total,2261331.94,,,,,,,,,,,,12/7/2018,3.82,,,,,,,,,,,,,
,,,,,,,,,,,,,12/6/2018,1679.98,,,,,,,,,,,,,
,,,,,,,,,,,,,12/5/2018,970.38,,,,,,,,,,,,,
,,,,,,,,,,,,,12/4/2018,69.66,,,,,,,,,,,,,
,,,,,,,,,,,,,12/3/2018,353.28,,,,,,,,,,,,,
,,,,,,,,,,,,,12/1/2018,848.52,,,,,,,,,,,,,
,,,,,,,,,,,,,11/12/2018,2025.03,,,,,,,,,,,,,
,,,,,,,,,,,,,11/11/2018,1815.22,,,,,,,,,,,,,
,,,,,,,,,,,,,11/9/2018,5564,,,,,,,,,,,,,
,,,,,,,,,,,,,11/8/2018,708.71,,,,,,,,,,,,,
,,,,,,,,,,,,,11/7/2018,1728.89,,,,,,,,,,,,,
,,,,,,,,,,,,,11/6/2018,1580.89,,,,,,,,,,,,,
Region,Central,,,,,,,,,,,,11/5/2018,449.48,,,,,,,,,,,,,
,,,,,,,,,,,,,11/4/2018,319.8,,,,,,,,,,,,,
Row Labels,Sum of Sales,,,,,,,,,,,,11/3/2018,1973.7,,,,,,,,,,,,Row Labels,Sum of Sales
"""While you Were Out"" Message Book, One Form per Page",8.9,,,,,,,,,,,,11/2/2018,1241.53,,,,,,,,,,,,Accessories,163981.67
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",85.65,,,,,,,,,,,,10/12/2018,3873.56,,,,,,,,,,,,Appliances,104618.38
